bootstraps,time,original,computed,difference
24702,1.1901878019174004E10,3.8602723662557445,3.8593772706127614,2.3187370166094615E-4
24802,1.1950099311495005E10,3.8602723662557445,3.859293968540993,2.5345302660618086E-4
24902,1.1998274202935019E10,3.8602723662557445,3.8592602162956235,2.6219651467306466E-4
25002,1.2046457184361992E10,3.8602723662557445,3.85920908846126,2.754411330607443E-4
25102,1.2094607644961E10,3.8602723662557445,3.859233718015644,2.690608696888438E-4
25202,1.2142768915416983E10,3.8602723662557445,3.859167719231894,2.861577938144715E-4
25302,1.219100426177401E10,3.8602723662557445,3.859207505593956,2.758511733775188E-4
25402,1.223919521340801E10,3.8602723662557445,3.8592232580935364,2.717705028740588E-4
25502,1.228730912499099E10,3.8602723662557445,3.85922517454995,2.7127404660576103E-4
25602,1.2335509231790014E10,3.8602723662557445,3.8592265112957165,2.709277638464906E-4
25702,1.2383683605314993E10,3.8602723662557445,3.8592784245876275,2.5747967340478866E-4
25802,1.2431891918350008E10,3.8602723662557445,3.8593193095349347,2.4688846547224903E-4
25902,1.2480077575435005E10,3.8602723662557445,3.8592864560250315,2.553991369446602E-4
26002,1.2528254780859993E10,3.8602723662557445,3.859299342288781,2.5206096219252484E-4
26102,1.2576449270827005E10,3.8602723662557445,3.8593390074947895,2.4178572711964466E-4
26202,1.262468746830301E10,3.8602723662557445,3.859281127454493,2.56779498233456E-4
26302,1.2672878919434992E10,3.8602723662557445,3.859277330727225,2.5776303693433205E-4
26402,1.2721007424241001E10,3.8602723662557445,3.859278297929003,2.5751248420476867E-4
26502,1.2769289578491983E10,3.8602723662557445,3.859245422484634,2.660288377803369E-4
26602,1.2817417223751995E10,3.8602723662557445,3.8592870341219143,2.552493814797708E-4
26702,1.2865549180958982E10,3.8602723662557445,3.8592777178466275,2.576627540097022E-4
26802,1.2913745713908012E10,3.8602723662557445,3.8592616132511353,2.618346346347742E-4
26902,1.2961941898744003E10,3.8602723662557445,3.8592349247265694,2.6874827233536327E-4
27002,1.3010103220306997E10,3.8602723662557445,3.8592458011354607,2.659307486325339E-4
27102,1.3058371686149994E10,3.8602723662557445,3.8592511247299957,2.6455167637288865E-4
27202,1.3106526132982002E10,3.8602723662557445,3.859246302603289,2.658008438536549E-4
27302,1.3154806229155005E10,3.8602723662557445,3.8592471926801455,2.655702702639663E-4
27402,1.3202943325701017E10,3.8602723662557445,3.859253321094901,2.639827100676342E-4
27502,1.325113763156799E10,3.8602723662557445,3.8593215778736885,2.463008544079242E-4
27602,1.329931371952201E10,3.8602723662557445,3.8593087565092414,2.4962221705557085E-4
27702,1.3347449094114992E10,3.8602723662557445,3.859351783111963,2.384762152610576E-4
27802,1.3395652494829994E10,3.8602723662557445,3.8593611272299913,2.3605563009460628E-4
27902,1.3443810250631996E10,3.8602723662557445,3.859369243602188,2.3395309135472295E-4
28002,1.3492027712623997E10,3.8602723662557445,3.85935073920032,2.3874663961039402E-4
28102,1.3540280722355017E10,3.8602723662557445,3.859370296803029,2.336802606471252E-4
28202,1.3588447745355013E10,3.8602723662557445,3.859364522539153,2.3517607838434245E-4
28302,1.3636670638137003E10,3.8602723662557445,3.859376254423089,2.3213694465936568E-4
28402,1.3684825681339016E10,3.8602723662557445,3.859336244924487,2.4250136841140628E-4
28502,1.3732981943394995E10,3.8602723662557445,3.8592824279647076,2.5644260226051935E-4
28602,1.378112377989001E10,3.8602723662557445,3.8593000075252575,2.5188863329615307E-4
